,keyword,date,index
1,比特币,2019/1/28,251331
1,比特币,2019/1/29,439262
1,比特币,2019/1/30,228879
1,比特币,2019/1/31,199324
1,比特币,2019/2/1,89994
1,比特币,2019/2/2,91082
1,比特币,2019/2/3,117192
1,比特币,2019/2/4,154194
1,比特币,2019/2/5,381698
1,比特币,2019/2/6,89907
1,比特币,2019/2/7,102392
1,比特币,2019/2/8,194042
1,比特币,2019/2/9,257299
1,比特币,2019/2/10,230529
1,比特币,2019/2/11,167514
1,比特币,2019/2/12,163854
1,比特币,2019/2/13,469141
1,比特币,2019/2/14,192602
1,比特币,2019/2/15,236437
1,比特币,2019/2/16,152652
1,比特币,2019/2/17,190392
1,比特币,2019/2/18,144539
1,比特币,2019/2/19,218149
1,比特币,2019/2/20,348916
1,比特币,2019/2/21,221989
1,比特币,2019/2/22,207749
1,比特币,2019/2/23,210337
1,比特币,2019/2/24,194237
1,比特币,2019/2/25,217082
1,比特币,2019/2/26,196422
1,比特币,2019/2/27,201724
1,比特币,2019/2/28,225644
1,比特币,2019/3/1,313261
1,比特币,2019/3/2,237257
1,比特币,2019/3/3,161302
1,比特币,2019/3/4,187914
1,比特币,2019/3/5,190272
1,比特币,2019/3/6,151187
1,比特币,2019/3/7,134222
1,比特币,2019/3/8,131542
1,比特币,2019/3/9,160374
1,比特币,2019/3/10,119297
1,比特币,2019/3/11,238752
1,比特币,2019/3/12,522842
1,比特币,2019/3/13,301871
1,比特币,2019/3/14,250104
1,比特币,2019/3/15,173589
1,比特币,2019/3/16,137972
1,比特币,2019/3/17,320248
1,比特币,2019/3/18,316348
1,比特币,2019/3/19,616714
1,比特币,2019/3/20,679879
1,比特币,2019/3/21,389375
1,比特币,2019/3/22,362755
1,比特币,2019/3/23,274404
1,比特币,2019/3/24,134269
1,比特币,2019/3/25,228567
1,比特币,2019/3/26,1229123
1,比特币,2019/3/27,182484
1,比特币,2019/3/28,104872
1,比特币,2019/3/29,189184
1,比特币,2019/3/30,232664
1,比特币,2019/3/31,207749
1,比特币,2019/4/1,198829
1,比特币,2019/4/2,316144
1,比特币,2019/4/3,419879
1,比特币,2019/4/4,385709
1,比特币,2019/4/5,307532
1,比特币,2019/4/6,326227
1,比特币,2019/4/7,184802
1,比特币,2019/4/8,197312
1,比特币,2019/4/9,928239
1,比特币,2019/4/10,368572
1,比特币,2019/4/11,341407
1,比特币,2019/4/12,354374
1,比特币,2019/4/13,224209
1,比特币,2019/4/14,708984
1,比特币,2019/4/15,930629
1,比特币,2019/4/16,395884
1,比特币,2019/4/17,307522
1,比特币,2019/4/18,118619
1,比特币,2019/4/19,163732
1,比特币,2019/4/20,162654
1,比特币,2019/4/21,154334
1,比特币,2019/4/22,229949
1,比特币,2019/4/23,174877
1,比特币,2019/4/24,363404
1,比特币,2019/4/25,341167
1,比特币,2019/4/26,418109
1,比特币,2019/4/27,223777
1,比特币,2019/4/28,173087
1,比特币,2019/4/29,120284
1,比特币,2019/4/30,117177
1,比特币,2019/5/1,185237
1,比特币,2019/5/2,227119
1,比特币,2019/5/3,166657
1,比特币,2019/5/4,181534
1,比特币,2019/5/5,1008614
1,比特币,2019/5/6,195434
1,比特币,2019/5/7,150594
1,比特币,2019/5/8,210127
1,比特币,2019/5/9,214424
1,比特币,2019/5/10,1778170
1,比特币,2019/5/11,446592
1,比特币,2019/5/12,662097
1,比特币,2019/5/13,536722
1,比特币,2019/5/14,1023867
1,比特币,2019/5/15,910827
1,比特币,2019/5/16,933909
1,比特币,2019/5/17,847234
1,比特币,2019/5/18,819789
1,比特币,2019/5/19,487052
1,比特币,2019/5/20,484287
1,比特币,2019/5/21,648374
1,比特币,2019/5/22,539132
1,比特币,2019/5/23,724804
1,比特币,2019/5/24,580204
1,比特币,2019/5/25,283387
1,比特币,2019/5/26,264277
1,比特币,2019/5/27,361312
1,比特币,2019/5/28,441814
1,比特币,2019/5/29,345054
1,比特币,2019/5/30,542402
1,比特币,2019/5/31,1322841
1,比特币,2019/6/1,570407
1,比特币,2019/6/2,359472
1,比特币,2019/6/3,252179
1,比特币,2019/6/4,2490132
1,比特币,2019/6/5,7549631
1,比特币,2019/6/6,1747638
1,比特币,2019/6/7,835149
1,比特币,2019/6/8,420449
1,比特币,2019/6/9,818434
1,比特币,2019/6/10,636862
1,比特币,2019/6/11,679422
1,比特币,2019/6/12,648014
1,比特币,2019/6/13,681042
1,比特币,2019/6/14,876672
1,比特币,2019/6/15,502887
1,比特币,2019/6/16,368469
1,比特币,2019/6/17,493532
1,比特币,2019/6/18,1120428
1,比特币,2019/6/19,419629
1,比特币,2019/6/20,503842
1,比特币,2019/6/21,496777
1,比特币,2019/6/22,1014162
1,比特币,2019/6/23,1659053
1,比特币,2019/6/24,956454
1,比特币,2019/6/25,591259
1,比特币,2019/6/26,1133064
1,比特币,2019/6/27,4368952
1,比特币,2019/6/28,1838847
1,比特币,2019/6/29,2079634
1,比特币,2019/6/30,1259404
1,比特币,2019/7/1,901994
1,比特币,2019/7/2,1680650
1,比特币,2019/7/3,1245061
1,比特币,2019/7/4,812987
1,比特币,2019/7/5,698487
1,比特币,2019/7/6,548884
1,比特币,2019/7/7,438419
1,比特币,2019/7/8,535827
