,keyword,date,index
1,比特币,2016-06-06,17
1,比特币,2016-06-07,19
1,比特币,2016-06-08,16
1,比特币,2016-06-09,6
1,比特币,2016-06-10,6
1,比特币,2016-06-11,1
1,比特币,2016-06-12,7
1,比特币,2016-06-13,144
1,比特币,2016-06-14,173
1,比特币,2016-06-15,108
1,比特币,2016-06-16,190
1,比特币,2016-06-17,134
1,比特币,2016-06-18,12
1,比特币,2016-06-19,8
1,比特币,2016-06-20,311
1,比特币,2016-06-21,126
1,比特币,2016-06-22,82
1,比特币,2016-06-23,56
1,比特币,2016-06-24,249
1,比特币,2016-06-25,15
1,比特币,2016-06-26,3
1,比特币,2016-06-27,85
1,比特币,2016-06-28,18
1,比特币,2016-06-29,94
1,比特币,2016-06-30,18
1,比特币,2016-07-01,16
1,比特币,2016-07-02,0
1,比特币,2016-07-03,1
1,比特币,2016-07-04,18
1,比特币,2016-07-05,19
1,比特币,2016-07-06,18
1,比特币,2016-07-07,14
1,比特币,2016-07-08,82
1,比特币,2016-07-09,6
1,比特币,2016-07-10,11
1,比特币,2016-07-11,69
1,比特币,2016-07-12,14
1,比特币,2016-07-13,106
1,比特币,2016-07-14,12
1,比特币,2016-07-15,12
1,比特币,2016-07-16,2
1,比特币,2016-07-17,2
1,比特币,2016-07-18,79
1,比特币,2016-07-19,12
1,比特币,2016-07-20,13
1,比特币,2016-07-21,16
1,比特币,2016-07-22,8
1,比特币,2016-07-23,2
1,比特币,2016-07-24,0
1,比特币,2016-07-25,0
1,比特币,2016-07-26,0
1,比特币,2016-07-27,0
1,比特币,2016-07-28,11
1,比特币,2016-07-29,8
1,比特币,2016-07-30,0
1,比特币,2016-07-31,0
1,比特币,2016-08-01,6
1,比特币,2016-08-02,11
1,比特币,2016-08-03,152
1,比特币,2016-08-04,198
1,比特币,2016-08-05,109
1,比特币,2016-08-06,3
1,比特币,2016-08-07,2
1,比特币,2016-08-08,69
1,比特币,2016-08-09,74
1,比特币,2016-08-10,15
1,比特币,2016-08-11,11
1,比特币,2016-08-12,12
1,比特币,2016-08-13,1
1,比特币,2016-08-14,1
1,比特币,2016-08-15,14
1,比特币,2016-08-16,10
1,比特币,2016-08-17,14
1,比特币,2016-08-18,9
1,比特币,2016-08-19,16
1,比特币,2016-08-20,2
1,比特币,2016-08-21,1
1,比特币,2016-08-22,8
1,比特币,2016-08-23,9
1,比特币,2016-08-24,13
1,比特币,2016-08-25,10
1,比特币,2016-08-26,78
1,比特币,2016-08-27,7
1,比特币,2016-08-28,4
1,比特币,2016-08-29,16
1,比特币,2016-08-30,12
1,比特币,2016-08-31,11
1,比特币,2016-09-01,6
1,比特币,2016-09-02,12
1,比特币,2016-09-03,1
1,比特币,2016-09-04,2
1,比特币,2016-09-05,16
1,比特币,2016-09-06,16
1,比特币,2016-09-07,9
1,比特币,2016-09-08,16
1,比特币,2016-09-09,15
1,比特币,2016-09-10,6
1,比特币,2016-09-11,6
1,比特币,2016-09-12,195
1,比特币,2016-09-13,60
1,比特币,2016-09-14,16
1,比特币,2016-09-15,4
1,比特币,2016-09-16,2
1,比特币,2016-09-17,0
1,比特币,2016-09-18,8
1,比特币,2016-09-19,17
1,比特币,2016-09-20,56
1,比特币,2016-09-21,11
1,比特币,2016-09-22,19
1,比特币,2016-09-23,12
1,比特币,2016-09-24,1
1,比特币,2016-09-25,3
1,比特币,2016-09-26,12
1,比特币,2016-09-27,10
1,比特币,2016-09-28,11
1,比特币,2016-09-29,12
1,比特币,2016-09-30,18
1,比特币,2016-10-01,0
1,比特币,2016-10-02,5
1,比特币,2016-10-03,2
1,比特币,2016-10-04,3
1,比特币,2016-10-05,4
1,比特币,2016-10-06,0
1,比特币,2016-10-07,0
1,比特币,2016-10-08,8
1,比特币,2016-10-09,9
1,比特币,2016-10-10,11
1,比特币,2016-10-11,20
1,比特币,2016-10-12,17
1,比特币,2016-10-13,12
1,比特币,2016-10-14,16
1,比特币,2016-10-15,1
1,比特币,2016-10-16,3
1,比特币,2016-10-17,7
1,比特币,2016-10-18,8
1,比特币,2016-10-19,15
1,比特币,2016-10-20,10
1,比特币,2016-10-21,11
1,比特币,2016-10-22,3
1,比特币,2016-10-23,7
1,比特币,2016-10-24,15
1,比特币,2016-10-25,80
1,比特币,2016-10-26,14
1,比特币,2016-10-27,20
1,比特币,2016-10-28,18
1,比特币,2016-10-29,3
1,比特币,2016-10-30,8
1,比特币,2016-10-31,78
1,比特币,2016-11-01,65
1,比特币,2016-11-02,94
1,比特币,2016-11-03,176
1,比特币,2016-11-04,161
1,比特币,2016-11-05,12
1,比特币,2016-11-06,5
1,比特币,2016-11-07,20
1,比特币,2016-11-08,18
1,比特币,2016-11-09,74
1,比特币,2016-11-10,105
1,比特币,2016-11-11,16
1,比特币,2016-11-12,1
1,比特币,2016-11-13,1
1,比特币,2016-11-14,13
1,比特币,2016-11-15,17
1,比特币,2016-11-16,20
1,比特币,2016-11-17,110
1,比特币,2016-11-18,146
1,比特币,2016-11-19,12
1,比特币,2016-11-20,3
1,比特币,2016-11-21,14
1,比特币,2016-11-22,16
1,比特币,2016-11-23,12
1,比特币,2016-11-24,18
1,比特币,2016-11-25,18
1,比特币,2016-11-26,2
1,比特币,2016-11-27,1
1,比特币,2016-11-28,11
1,比特币,2016-11-29,18
1,比特币,2016-11-30,63
1,比特币,2016-12-01,14
1,比特币,2016-12-02,17
1,比特币,2016-12-03,9
1,比特币,2016-12-04,1
1,比特币,2016-12-05,20
1,比特币,2016-12-06,13
1,比特币,2016-12-07,15
1,比特币,2016-12-08,18
1,比特币,2016-12-09,11
1,比特币,2016-12-10,2
1,比特币,2016-12-11,1
1,比特币,2016-12-12,19
1,比特币,2016-12-13,106
1,比特币,2016-12-14,19
1,比特币,2016-12-15,9
1,比特币,2016-12-16,15
1,比特币,2016-12-17,3
1,比特币,2016-12-18,0
1,比特币,2016-12-19,148
1,比特币,2016-12-20,19
1,比特币,2016-12-21,17
1,比特币,2016-12-22,173
1,比特币,2016-12-23,274
1,比特币,2016-12-24,14
1,比特币,2016-12-25,9
1,比特币,2016-12-26,191
1,比特币,2016-12-27,112
1,比特币,2016-12-28,101
1,比特币,2016-12-29,182
1,比特币,2016-12-30,215
1,比特币,2016-12-31,12
1,比特币,2017-01-01,3
1,比特币,2017-01-02,76
1,比特币,2017-01-03,260
1,比特币,2017-01-04,197
1,比特币,2017-01-05,529
1,比特币,2017-01-06,703
1,比特币,2017-01-07,277
1,比特币,2017-01-08,104
1,比特币,2017-01-09,206
1,比特币,2017-01-10,327
1,比特币,2017-01-11,552
1,比特币,2017-01-12,656
1,比特币,2017-01-13,348
1,比特币,2017-01-14,80
1,比特币,2017-01-15,8
1,比特币,2017-01-16,86
1,比特币,2017-01-17,92
1,比特币,2017-01-18,84
1,比特币,2017-01-19,321
1,比特币,2017-01-20,233
1,比特币,2017-01-21,10
1,比特币,2017-01-22,12
1,比特币,2017-01-23,147
1,比特币,2017-01-24,208
1,比特币,2017-01-25,163
1,比特币,2017-01-26,20
1,比特币,2017-01-27,8
1,比特币,2017-01-28,2
1,比特币,2017-01-29,1
1,比特币,2017-01-30,5
1,比特币,2017-01-31,2
1,比特币,2017-02-01,0
1,比特币,2017-02-02,1
1,比特币,2017-02-03,20
1,比特币,2017-02-04,12
1,比特币,2017-02-05,5
1,比特币,2017-02-06,10
1,比特币,2017-02-07,18
1,比特币,2017-02-08,97
1,比特币,2017-02-09,566
1,比特币,2017-02-10,235
1,比特币,2017-02-11,12
1,比特币,2017-02-12,9
1,比特币,2017-02-13,100
1,比特币,2017-02-14,87
1,比特币,2017-02-15,73
1,比特币,2017-02-16,87
1,比特币,2017-02-17,20
1,比特币,2017-02-18,4
1,比特币,2017-02-19,1
1,比特币,2017-02-20,11
1,比特币,2017-02-21,16
1,比特币,2017-02-22,263
1,比特币,2017-02-23,97
1,比特币,2017-02-24,177
1,比特币,2017-02-25,11
1,比特币,2017-02-26,2
1,比特币,2017-02-27,19
1,比特币,2017-02-28,63
1,比特币,2017-03-01,62
1,比特币,2017-03-02,0
1,比特币,2017-03-03,144
1,比特币,2017-03-04,18
1,比特币,2017-03-05,7
1,比特币,2017-03-06,237
1,比特币,2017-03-07,123
1,比特币,2017-03-08,133
1,比特币,2017-03-09,111
1,比特币,2017-03-10,18
1,比特币,2017-03-11,15
1,比特币,2017-03-12,5
1,比特币,2017-03-13,156
1,比特币,2017-03-14,199
1,比特币,2017-03-15,18
1,比特币,2017-03-16,16
1,比特币,2017-03-17,58
1,比特币,2017-03-18,17
1,比特币,2017-03-19,3
1,比特币,2017-03-20,20
1,比特币,2017-03-21,17
1,比特币,2017-03-22,69
1,比特币,2017-03-23,19
1,比特币,2017-03-24,19
1,比特币,2017-03-25,7
1,比特币,2017-03-26,3
1,比特币,2017-03-27,18
1,比特币,2017-03-28,15
1,比特币,2017-03-29,99
1,比特币,2017-03-30,18
1,比特币,2017-03-31,100
1,比特币,2017-04-01,74
1,比特币,2017-04-02,2
1,比特币,2017-04-03,5
1,比特币,2017-04-04,3
1,比特币,2017-04-05,150
1,比特币,2017-04-06,147
1,比特币,2017-04-07,19
1,比特币,2017-04-08,2
1,比特币,2017-04-09,3
1,比特币,2017-04-10,91
1,比特币,2017-04-11,20
1,比特币,2017-04-12,106
1,比特币,2017-04-13,14
1,比特币,2017-04-14,119
1,比特币,2017-04-15,2
1,比特币,2017-04-16,2
1,比特币,2017-04-17,19
1,比特币,2017-04-18,17
1,比特币,2017-04-19,20
1,比特币,2017-04-20,17
1,比特币,2017-04-21,15
1,比特币,2017-04-22,3
1,比特币,2017-04-23,3
1,比特币,2017-04-24,19
1,比特币,2017-04-25,14
1,比特币,2017-04-26,84
1,比特币,2017-04-27,19
1,比特币,2017-04-28,124
1,比特币,2017-04-29,2
1,比特币,2017-04-30,1
1,比特币,2017-05-01,13
1,比特币,2017-05-02,257
1,比特币,2017-05-03,229
1,比特币,2017-05-04,125
1,比特币,2017-05-05,184
1,比特币,2017-05-06,5
1,比特币,2017-05-07,2
1,比特币,2017-05-08,92
1,比特币,2017-05-09,245
1,比特币,2017-05-10,354
1,比特币,2017-05-11,201
1,比特币,2017-05-12,170
1,比特币,2017-05-13,384
1,比特币,2017-05-14,353
1,比特币,2017-05-15,878
1,比特币,2017-05-16,714
1,比特币,2017-05-17,428
1,比特币,2017-05-18,309
1,比特币,2017-05-19,146
1,比特币,2017-05-20,155
1,比特币,2017-05-21,107
1,比特币,2017-05-22,453
1,比特币,2017-05-23,262
1,比特币,2017-05-24,277
1,比特币,2017-05-25,521
1,比特币,2017-05-26,683
1,比特币,2017-05-27,346
1,比特币,2017-05-28,98
1,比特币,2017-05-29,151
1,比特币,2017-05-30,19
1,比特币,2017-05-31,391
1,比特币,2017-06-01,209
1,比特币,2017-06-02,254
1,比特币,2017-06-03,185
1,比特币,2017-06-04,18
1,比特币,2017-06-05,331
1,比特币,2017-06-06,444
1,比特币,2017-06-07,343
1,比特币,2017-06-08,140
1,比特币,2017-06-09,212
1,比特币,2017-06-10,15
1,比特币,2017-06-11,9
1,比特币,2017-06-12,393
1,比特币,2017-06-13,477
1,比特币,2017-06-14,298
1,比特币,2017-06-15,304
1,比特币,2017-06-16,241
1,比特币,2017-06-17,96
1,比特币,2017-06-18,20
1,比特币,2017-06-19,256
1,比特币,2017-06-20,191
1,比特币,2017-06-21,265
1,比特币,2017-06-22,156
1,比特币,2017-06-23,230
1,比特币,2017-06-24,65
1,比特币,2017-06-25,8
1,比特币,2017-06-26,182
1,比特币,2017-06-27,225
1,比特币,2017-06-28,208
1,比特币,2017-06-29,147
1,比特币,2017-06-30,88
1,比特币,2017-07-01,7
1,比特币,2017-07-02,4
1,比特币,2017-07-03,107
1,比特币,2017-07-04,173
1,比特币,2017-07-05,162
1,比特币,2017-07-06,255
1,比特币,2017-07-07,152
1,比特币,2017-07-08,17
1,比特币,2017-07-09,8
1,比特币,2017-07-10,232
1,比特币,2017-07-11,213
1,比特币,2017-07-12,171
1,比特币,2017-07-13,246
1,比特币,2017-07-14,128
1,比特币,2017-07-15,11
1,比特币,2017-07-16,11
1,比特币,2017-07-17,190
1,比特币,2017-07-18,354
