,keyword,type,date,index
1,比特币,all,2016/10/18,7244
1,比特币,all,2016/10/19,8601
1,比特币,all,2016/10/20,5864
1,比特币,all,2016/10/21,5186
1,比特币,all,2016/10/22,4830
1,比特币,all,2016/10/23,6668
1,比特币,all,2016/10/24,10778
1,比特币,all,2016/10/25,10955
1,比特币,all,2016/10/26,10785
1,比特币,all,2016/10/27,11788
1,比特币,all,2016/10/28,9885
1,比特币,all,2016/10/29,6206
1,比特币,all,2016/10/30,7509
1,比特币,all,2016/10/31,8654
1,比特币,all,2016/11/1,9370
1,比特币,all,2016/11/2,11965
1,比特币,all,2016/11/3,12411
1,比特币,all,2016/11/4,11299
1,比特币,all,2016/11/5,9404
1,比特币,all,2016/11/6,8224
1,比特币,all,2016/11/7,9293
1,比特币,all,2016/11/8,9485
1,比特币,all,2016/11/9,10510
1,比特币,all,2016/11/10,9864
1,比特币,all,2016/11/11,10017
1,比特币,all,2016/11/12,7233
1,比特币,all,2016/11/13,11229
1,比特币,all,2016/11/14,14138
1,比特币,all,2016/11/15,12611
1,比特币,all,2016/11/16,13712
1,比特币,all,2016/11/17,15868
1,比特币,all,2016/11/18,14939
1,比特币,all,2016/11/19,13346
1,比特币,all,2016/11/20,11582
1,比特币,all,2016/11/21,12832
1,比特币,all,2016/11/22,12185
1,比特币,all,2016/11/23,12839
1,比特币,all,2016/11/24,12936
1,比特币,all,2016/11/25,15005
1,比特币,all,2016/11/26,19555
1,比特币,all,2016/11/27,20264
1,比特币,all,2016/11/28,15770
1,比特币,all,2016/11/29,17154
1,比特币,all,2016/11/30,11874
1,比特币,all,2016/12/1,8758
1,比特币,all,2016/12/2,10454
1,比特币,all,2016/12/3,10854
1,比特币,all,2016/12/4,10229
1,比特币,all,2016/12/5,10502
1,比特币,all,2016/12/6,10817
1,比特币,all,2016/12/7,10404
1,比特币,all,2016/12/8,9863
1,比特币,all,2016/12/9,9019
1,比特币,all,2016/12/10,8103
1,比特币,all,2016/12/11,8258
1,比特币,all,2016/12/12,9539
1,比特币,all,2016/12/13,10078
1,比特币,all,2016/12/14,11221
1,比特币,all,2016/12/15,9723
1,比特币,all,2016/12/16,9070
1,比特币,all,2016/12/17,10532
1,比特币,all,2016/12/18,10155
1,比特币,all,2016/12/19,15312
1,比特币,all,2016/12/20,13681
1,比特币,all,2016/12/21,11469
1,比特币,all,2016/12/22,19358
1,比特币,all,2016/12/23,20729
1,比特币,all,2016/12/24,15430
1,比特币,all,2016/12/25,14018
1,比特币,all,2016/12/26,21424
1,比特币,all,2016/12/27,15363
1,比特币,all,2016/12/28,18867
1,比特币,all,2016/12/29,18475
1,比特币,all,2016/12/30,17107
1,比特币,all,2016/12/31,16806
1,比特币,all,2017/1/1,14164
1,比特币,all,2017/1/2,22614
1,比特币,all,2017/1/3,43225
1,比特币,all,2017/1/4,42914
1,比特币,all,2017/1/5,74799
1,比特币,all,2017/1/6,65188
1,比特币,all,2017/1/7,54115
1,比特币,all,2017/1/8,30317
1,比特币,all,2017/1/9,32558
1,比特币,all,2017/1/10,29518
1,比特币,all,2017/1/11,48266
1,比特币,all,2017/1/12,64713
1,比特币,all,2017/1/13,38727
1,比特币,all,2017/1/14,21774
1,比特币,all,2017/1/15,19031
1,比特币,all,2017/1/16,26573
1,比特币,all,2017/1/17,31137
1,比特币,all,2017/1/18,27226
1,比特币,all,2017/1/19,29177
1,比特币,all,2017/1/20,25558
1,比特币,all,2017/1/21,21785
1,比特币,all,2017/1/22,22044
1,比特币,all,2017/1/23,24408
1,比特币,all,2017/1/24,26256
1,比特币,all,2017/1/25,19850
1,比特币,all,2017/1/26,17373
1,比特币,all,2017/1/27,13927
1,比特币,all,2017/1/28,12715
1,比特币,all,2017/1/29,13119
1,比特币,all,2017/1/30,14963
1,比特币,all,2017/1/31,14491
1,比特币,all,2017/2/1,14886
1,比特币,all,2017/2/2,14283
